Problem,Method,Level,DOF,Cells,ActiveDOF,ActiveFraction,Halo,TouchedCells,LocalNNZ,L2,H1semi,Energy,Estimator,ResidualReduction,Cycle_s,Cumulative_s
L-shaped singularity,HLRC-r2,5,598,1120,518,0.9885496183206107,2,1118,3424,0.0007753649259265279,0.040030020582084214,0.040030020582084214,0.14123982540163227,0.020238733579251815,0.03319416600004388,0.07132992599974841
L-shaped singularity,HLRC-r2,6,1090,2084,937,0.9407630522088354,2,2011,6235,0.0005203632307770069,0.029332532756699174,0.029332532756699174,0.10514725480715402,0.02687599886423751,0.059990753999954904,0.13132067999970332
L-shaped singularity,HLRC-r2,7,1960,3790,1689,0.9219432314410481,2,3663,11187,0.0003489007927662246,0.02151936542408311,0.02151936542408311,0.07838997927123176,0.02404900904186097,0.10718960799999877,0.2385102879997021
L-shaped singularity,RCHC,0,65,96,33,1.0,-1,96,177,0.019262555173412486,0.18451035318832681,0.18451035318832681,0.5288212008554289,0.0,0.0018903280000586165,0.0018903280000586165
L-shaped singularity,RCHC,1,78,122,24,0.5217391304347826,1,62,134,0.010530183798421924,0.1350913467149999,0.1350913467149999,0.4237659468946922,0.04857545224710415,0.004054862999964826,0.005945191000023442
L-shaped singularity,RCHC,2,104,170,38,0.5588235294117647,1,98,216,0.00819495139244788,0.10441904225747312,0.10441904225747312,0.33416388139603254,0.09118115395089467,0.0052657899999530855,0.011210980999976528
L-shaped singularity,RCHC,3,190,338,139,0.9266666666666666,1,326,857,0.004634465049765396,0.07597639207627983,0.07597639207627983,0.2520904243857585,0.08245258531390338,0.01575435600000219,0.026965336999978717
L-shaped singularity,RCHC,4,331,610,228,0.8113879003558719,1,576,1354,0.0035133843231042253,0.05563372320761725,0.05563372320761725,0.18608970854035314,0.09056828990438379,0.019753597999965677,0.046718934999944395
L-shaped singularity,RCHC,5,624,1172,461,0.8381818181818181,1,1094,2875,0.002911620220449214,0.04089910118231026,0.04089910118231026,0.13748519982570556,0.08879003226007182,0.038655156000004354,0.08537409099994875
L-shaped singularity,RCHC,6,1107,2116,773,0.7645895153313551,1,1802,4911,0.0026656686249532852,0.030990684472196196,0.030990684472196196,0.10351746549561477,0.09895514951719639,0.07669036400011464,0.1620644550000634
L-shaped singularity,RCHC,7,2022,3916,1456,0.7679324894514767,1,3332,9366,0.0024749632614846293,0.02360410804690987,0.02360410804690987,0.07699929100936341,0.09024103296407927,0.1881468239998867,0.3502112789999501
High-contrast interface (1e4),HLRC-r0,0,81,128,49,1.0,0,128,289,0.0009955829820487566,0.02295233411854685,0.022961566825354753,0.1288943316842016,0.0,0.0022248299999318988,0.0022248299999318988
