Problem,Level,Halo,DOF,InteriorDOF,ActiveDOF,ActiveFraction,TouchedCells,LocalNNZ,Energy,DirectEnergy,ProlongedEnergy,RecoveryFraction,WorkNormalizedRecovery,Solve_s
L-shaped singularity,5,2,598,524,518,0.9885496183206107,1118,3424,0.04002839988005429,0.04000992835929659,0.054978564670506234,0.9989602057130034,1.0105311733467446,0.0134897570000021
L-shaped singularity,5,3,598,524,524,1.0,1120,3486,0.040009928359296586,0.04000992835929659,0.054978564670506234,1.0000000000000002,1.0000000000000002,0.013486972999999125
L-shaped singularity,5,999,598,524,524,1.0,1120,3486,0.040009928359296586,0.04000992835929659,0.054978564670506234,1.0,1.0,0.013554953999914687
L-shaped singularity,6,0,1092,998,474,0.4749498997995992,1408,1914,0.029979344359605548,0.02928580970541911,0.040279209241482226,0.9462541835528966,1.9923242092527234,0.011231447999989541
L-shaped singularity,6,1,1092,998,794,0.7955911823647295,1823,5082,0.029349419081840206,0.02928580970541911,0.040279209241482226,0.9951229541054124,1.250796861709322,0.020606001000032848
L-shaped singularity,6,2,1092,998,939,0.9408817635270541,2015,6249,0.02930689763376385,0.02928580970541911,0.040279209241482226,0.9983843229240066,1.0611156062600198,0.02528248699991309
L-shaped singularity,6,3,1092,998,980,0.9819639278557114,2058,6610,0.02928763580191667,0.02928580970541911,0.040279209241482226,0.9998601374070749,1.0182249154410825,0.02589633800005231
L-shaped singularity,6,999,1092,998,998,1.0,2088,6740,0.02928580970541912,0.02928580970541911,0.040279209241482226,1.0,1.0,0.026049044000046706
L-shaped singularity,7,0,1968,1840,842,0.45760869565217394,2488,3430,0.021929049366245096,0.021443524265943488,0.029278713856655904,0.9470118250733166,2.0694795227255374,0.019705224999938764
L-shaped singularity,7,1,1968,1840,1402,0.7619565217391304,3235,8948,0.02149106695636895,0.021443524265943488,0.029278713856655904,0.9948637853084707,1.3056700178085494,0.03673195900000792
L-shaped singularity,7,2,1968,1840,1704,0.9260869565217391,3682,11308,0.021459256254040087,0.021443524265943488,0.029278713856655904,0.9983016737179095,1.0779783331226251,0.044168177999949876
L-shaped singularity,7,3,1968,1840,1824,0.991304347826087,3790,12396,0.02144479110074286,0.021443524265943488,0.029278713856655904,0.9998632866094427,1.008634017193736,0.048177284000075815
L-shaped singularity,7,999,1968,1840,1840,1.0,3806,12538,0.021443524265943485,0.021443524265943488,0.029278713856655904,1.0,1.0,0.049307190000035916
High-contrast interface (1e4),1,0,128,96,47,0.4895833333333333,136,193,0.016516655655609114,0.01596775503604678,0.02296163949274876,0.9345103587893854,1.9087871158251277,0.0014852730000711745
High-contrast interface (1e4),1,1,128,96,75,0.78125,177,469,0.015979383738736797,0.01596775503604678,0.02296163949274876,0.9986355201298853,1.2782534657662532,0.0021290370000315306
